user_id,status,preferred_genres,preferred_artists,preferred_moods,preferred_tempo,recent_listening_level,recent_discovery_level,repeat_listening_ratio,new_artist_acceptance,personalization_strength,discovery_readiness,new_release_affinity
user_001,success,,,"night, soft",medium,high,low,0.68,0.89,low,high,medium
user_002,success,,,,medium,low,high,0.6,0.56,high,high,high
user_003,success,"dance, indie, acoustic, pop","artist_a, artist_z",energetic,fast,medium,low,0.22,0.76,low,low,medium
user_004,success,,"artist_l, artist_t","calm, energetic",slow,low,medium,0.08,0.29,high,high,medium
user_005,success,"indie, rnb, ballad, pop",artist_y,"calm, night",medium,medium,medium,0.45,0.83,low,medium,medium
user_006,success,acoustic,"artist_v, artist_w",,slow,high,low,0.53,0.24,medium,medium,medium
user_007,success,"indie, pop, rnb, dance",,"energetic, bright",medium,low,high,0.88,0.31,high,medium,medium
user_008,success,"indie, pop, acoustic",artist_x,"soft, energetic",slow,medium,medium,0.22,1,high,medium,low
user_009,success,,,night,slow,medium,high,0.06,0.38,medium,high,medium
user_010,success,"rnb, acoustic, pop, dance","artist_d, artist_j","night, energetic, calm",slow,high,medium,0.97,0.76,high,low,high
user_011,success,"acoustic, ballad",artist_e,"night, calm",slow,medium,medium,0.02,0.93,medium,low,low
user_012,success,ballad,,,slow,medium,low,0.98,0.53,low,low,high
user_013,success,"ballad, indie, pop","artist_g, artist_r, artist_y",bright,fast,high,high,0.37,0.9,medium,low,low
user_014,success,rnb,"artist_a, artist_s",soft,medium,low,low,0.71,0.06,low,low,medium
user_015,success,,artist_i,"night, soft, bright",slow,high,medium,0.24,0.47,medium,low,low
user_016,success,,"artist_l, artist_n, artist_o",,slow,high,high,0.1,0.4,medium,low,low
user_017,success,indie,"artist_e, artist_f, artist_n","energetic, night",medium,medium,high,0.1,0.65,high,low,low
user_018,success,indie,"artist_g, artist_m, artist_p",,medium,medium,low,0.99,0.27,medium,medium,medium
user_019,success,"acoustic, dance, indie, rnb","artist_b, artist_g",,slow,medium,low,0.05,0.48,high,low,low
user_020,success,"rnb, indie, acoustic, pop",,energetic,medium,high,low,0.58,0.04,low,medium,high
user_021,success,"ballad, acoustic, pop, indie",artist_v,"night, bright",fast,low,high,0.65,0.46,low,low,medium
user_022,success,"ballad, rnb, acoustic, pop",artist_q,"night, bright",medium,low,medium,0.28,0.44,high,high,medium
user_023,success,"acoustic, ballad, rnb, pop","artist_d, artist_v",bright,medium,low,high,0.55,0.27,high,low,high
user_024,success,"indie, pop","artist_b, artist_c, artist_i","bright, calm, energetic",fast,low,high,0.98,0.16,medium,high,high
user_025,success,"ballad, rnb, acoustic",,soft,medium,medium,high,0.55,0.43,low,medium,medium
user_026,success,,"artist_g, artist_v",calm,fast,high,medium,0.97,0.75,low,low,low
user_027,success,"rnb, indie, pop","artist_v, artist_x, artist_z",bright,medium,high,low,0.38,0.04,medium,low,low
user_028,success,"pop, acoustic, indie",artist_a,energetic,fast,medium,low,0.97,0.28,high,high,medium
user_029,success,"pop, rnb, ballad, indie",artist_s,"calm, soft",slow,medium,medium,0.73,0.31,high,high,low
user_030,success,"ballad, indie, pop",,"calm, night, energetic",fast,low,high,0.92,0.62,high,low,high
user_031,success,"ballad, pop","artist_k, artist_m, artist_w","soft, night",medium,medium,high,0.94,0.68,low,high,high
user_032,success,"dance, ballad",,"bright, night",fast,high,high,0.65,0.46,medium,high,low
user_033,success,"dance, indie, rnb, ballad","artist_c, artist_y",bright,medium,low,low,0.02,0.24,medium,high,low
user_034,success,"dance, ballad, indie","artist_h, artist_m, artist_p",calm,medium,medium,low,0.18,0.96,high,medium,low
user_035,success,"indie, rnb, dance, ballad","artist_q, artist_r, artist_v","energetic, soft",slow,medium,low,0.74,0.47,medium,low,high
user_036,success,"ballad, dance",artist_i,"calm, bright, soft",fast,medium,medium,0.89,0.08,low,low,medium
user_037,success,acoustic,artist_c,"energetic, bright, soft",fast,medium,low,0.21,0.42,high,high,low
user_038,success,"dance, acoustic, rnb, indie","artist_m, artist_y","soft, night, energetic",medium,medium,medium,0.49,0.39,high,high,medium
user_039,success,dance,artist_t,,fast,high,high,0.66,0.08,medium,low,medium
user_040,success,rnb,"artist_k, artist_m",energetic,fast,medium,medium,0.28,0.95,medium,medium,low
user_041,success,"rnb, ballad, acoustic","artist_h, artist_u",,slow,low,low,0.95,0.2,low,high,low
user_042,success,indie,"artist_d, artist_s, artist_v",energetic,slow,medium,medium,0.17,0.61,high,high,low
user_043,success,pop,,,fast,high,high,0.91,0.38,high,low,low
user_044,success,"acoustic, indie, rnb, pop","artist_t, artist_v",,slow,low,medium,0.53,0.66,low,high,high
user_045,success,"rnb, dance","artist_d, artist_l, artist_n","night, energetic, calm",slow,high,high,0.27,0.81,high,medium,medium
user_046,success,"acoustic, ballad, pop","artist_c, artist_h","energetic, night",fast,high,high,0.67,0.34,medium,medium,low
user_047,success,"indie, pop, ballad","artist_i, artist_t","soft, calm",slow,low,low,0.24,0.41,high,low,high
user_048,success,"acoustic, dance, ballad",,,fast,low,medium,0.69,0.31,high,medium,medium
