recommend_id,recommendation_category,evidence_summary,content_id,metadata_json
recommend_001,personalized_match,user_001의 rnb/indie 취향과 calm/night 분위기에 직접 연결되는 곡,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":true,""tempo_match"":true,""new_taste_expansion"":false},""reason_tags"":[""rnb"",""indie"",""calm"",""night""]}"
recommend_002,night_playlist,밤 시간대 감상에 적합한 calm/night 무드의 미디엄 템포 곡,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":false,""mood_match"":true,""tempo_match"":true,""new_taste_expansion"":false},""reason_tags"":[""night"",""calm"",""medium_tempo""]}"
recommend_003,genre_anchor,rnb와 indie가 함께 포함되어 사용자의 기존 취향 기준점으로 쓰기 좋은 곡,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":false,""tempo_match"":true,""new_taste_expansion"":false},""reason_tags"":[""rnb"",""indie"",""anchor_track""]}"
recommend_004,mood_recovery,차분한 분위기를 선호하는 사용자에게 이탈 방지용으로 제안하기 좋은 곡,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":true,""tempo_match"":true,""retention_support"":true},""reason_tags"":[""calm"",""retention"",""soft_recommendation""]}"
recommend_005,similar_taste,기존 rnb 취향과 가까우면서 indie 감성을 함께 제공하는 유사 취향 후보,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":true,""tempo_match"":true},""reason_tags"":[""similar_taste"",""rnb"",""indie""]}"
recommend_006,contextual_match,야간 청취 맥락에서 부담 없이 추천할 수 있는 부드러운 분위기의 곡,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""context_match"":true,""mood_match"":true,""tempo_match"":true},""reason_tags"":[""night_context"",""calm"",""medium_tempo""]}"
recommend_007,safe_default,취향 정보가 부족한 사용자에게도 무난하게 제안 가능한 안정적인 추천 후보,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""safe_default"":true,""mood_match"":true,""tempo_match"":true},""reason_tags"":[""safe_default"",""calm"",""rnb""]}"
recommend_008,album_pick,Night Sketch 앨범의 대표 분위기를 보여주는 곡으로 앨범 단위 탐색에 적합,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""album_context"":true,""mood_match"":true,""genre_match"":true},""reason_tags"":[""album_pick"",""Night Sketch"",""night""]}"
recommend_009,similar_taste,기존 rnb 취향과 가까운 soul 계열의 부드러운 유사 취향 후보,track_002,"{""catalog"":{""content_id"":""track_002"",""title"":""Velvet Echo"",""artist"":""June Park"",""album"":""Echo Room"",""genres"":[""rnb"",""soul""],""moods"":[""calm"",""soft""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":true,""tempo_match"":true},""reason_tags"":[""rnb"",""soul"",""similar_taste""]}"
recommend_010,soft_mood,calm/soft 분위기를 선호하는 사용자에게 적합한 부드러운 추천곡,track_002,"{""catalog"":{""content_id"":""track_002"",""title"":""Velvet Echo"",""artist"":""June Park"",""album"":""Echo Room"",""genres"":[""rnb"",""soul""],""moods"":[""calm"",""soft""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":true,""tempo_match"":true},""reason_tags"":[""calm"",""soft"",""medium_tempo""]}"
